gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.104084,0.151224,0.046528
0.090336,0.183760,0.025761
0.051712,0.070137,0.061859
0.090190,0.131045,0.089479
-0.002106,0.137526,0.071303
0.064415,0.192252,0.023811
0.111938,0.082700,0.160129
0.093619,0.105530,0.021557
0.047678,0.178356,0.095384
0.033988,0.171228,0.079481
0.118165,0.170674,0.043525
0.121054,0.193185,0.092079
0.070229,0.112443,0.059758
0.115658,0.109615,0.145849
0.080046,0.140650,0.067175
0.114234,0.122949,0.062247
0.125605,0.175780,0.065001
0.093275,0.113024,0.082776
0.114117,0.156560,0.118367
0.034407,0.161273,0.000854
0.008493,0.110398,0.040854
0.107215,0.062420,0.040754
0.068704,0.089969,-0.009825
0.068560,0.154040,0.037636
0.069301,0.095165,-0.015740
0.094695,0.057140,0.050589
0.090284,0.065891,0.115566
0.104232,0.126265,0.128649
0.028901,0.048976,0.026574
0.117544,0.131899,0.132781
0.076077,0.131487,0.136920
0.095104,0.088068,0.114988
0.076874,0.128095,0.013277
0.149702,0.098837,0.013315
0.077195,0.112998,0.016638
0.138812,0.112172,0.078226
0.057822,0.110153,0.017597
0.068125,0.143835,0.059711
0.035082,0.046090,0.012719
0.022715,0.193495,0.114056
0.057495,0.079323,0.068758
0.039244,0.145093,0.060232
0.095977,0.180764,0.089927
0.143440,0.069260,0.126345
0.082551,0.103151,0.018781
0.110245,0.147560,0.088895
0.124788,0.103965,0.049734
0.148643,0.142526,0.040669
0.100925,0.113496,0.042835
0.059889,0.122336,0.069335
0.170089,0.055668,0.094074
0.042717,0.179130,0.046039
0.068939,0.087513,0.002029
-0.043843,0.106459,0.072903
0.092068,0.077197,0.052874
0.124484,0.137369,0.054887
0.137856,0.066805,-0.012963
0.063209,0.097544,0.006603
0.073231,0.066891,0.019359
0.037312,0.100063,0.041275
0.033361,0.090072,0.028504
0.101560,0.075905,-0.025916
0.049853,0.149639,0.020402
0.115497,0.107899,0.090291
0.122397,0.072089,0.065779
0.132025,0.001856,0.070694
0.100588,0.101664,0.058199
0.063769,0.093044,0.147925
0.078499,0.086599,0.064051
0.012846,0.170389,-0.007883
0.017844,0.100838,0.069448
0.049840,0.146748,-0.001411
0.062683,0.116488,0.118314
0.078715,0.121546,0.054860
0.125488,0.178919,0.102981
0.110858,0.073907,0.026498
0.116012,0.175626,0.009864
0.044691,0.165479,-0.047056
0.145016,0.127918,0.001225
0.144406,0.048333,0.087449
0.112136,0.105403,-0.031599
0.040694,0.160276,0.026703
0.036548,0.106233,0.063074
