accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.841294,-1.441102,-9.616583
0.824889,-1.443709,-9.626192
0.838892,-1.445355,-9.634946
0.836178,-1.443989,-9.626665
0.840575,-1.455915,-9.631399
0.838605,-1.442825,-9.626712
0.846642,-1.460801,-9.632374
0.848878,-1.449800,-9.621721
0.837386,-1.452228,-9.622873
0.844613,-1.465342,-9.622327
0.857484,-1.465386,-9.619753
0.851461,-1.466416,-9.629391
0.857343,-1.464797,-9.617471
0.862383,-1.469326,-9.622651
0.856989,-1.470471,-9.617213
0.859192,-1.473333,-9.621974
0.850583,-1.472698,-9.625638
0.850544,-1.482608,-9.627275
0.858476,-1.482447,-9.614897
0.867839,-1.485899,-9.619907
0.858328,-1.479748,-9.614076
0.870689,-1.494056,-9.616414
0.867610,-1.481999,-9.616864
0.866181,-1.495201,-9.619818
0.869026,-1.500642,-9.618166
0.873990,-1.503324,-9.613297
0.880613,-1.495959,-9.616141
0.873674,-1.496297,-9.614516
0.881402,-1.503743,-9.614653
0.870753,-1.519344,-9.603736
0.887554,-1.507104,-9.614109
0.872775,-1.512592,-9.619038
0.887418,-1.507989,-9.614545
0.889099,-1.513333,-9.609394
0.873365,-1.512583,-9.611358
0.882625,-1.518794,-9.613166
0.876412,-1.520056,-9.616925
0.886912,-1.526105,-9.615237
0.897893,-1.526147,-9.613545
0.890400,-1.528575,-9.615100
0.885659,-1.523716,-9.607919
0.893347,-1.538304,-9.607913
0.900678,-1.530842,-9.604777
0.892160,-1.535704,-9.606744
0.895379,-1.537502,-9.613565
0.899160,-1.549426,-9.600320
0.895110,-1.546677,-9.606532
0.904611,-1.548804,-9.605423
0.899513,-1.550735,-9.611198
0.899566,-1.549043,-9.604476
0.888643,-1.543526,-9.611215
0.905109,-1.556801,-9.601130
0.911944,-1.555073,-9.606513
0.911041,-1.558377,-9.604166
0.908423,-1.557093,-9.611671
0.909947,-1.562155,-9.604534
0.910509,-1.557914,-9.610769
0.921277,-1.556069,-9.613130
0.905684,-1.565910,-9.599685
0.920325,-1.563640,-9.602300
0.907483,-1.561670,-9.602304
0.916774,-1.563737,-9.606119
0.919216,-1.576725,-9.602180
0.912157,-1.577027,-9.606914
0.911445,-1.577088,-9.605263
0.924885,-1.579254,-9.600123
0.916770,-1.586913,-9.605403
0.914861,-1.586367,-9.598990
0.924777,-1.593204,-9.592515
0.918138,-1.581673,-9.599373
0.926046,-1.591468,-9.597153
0.926825,-1.590774,-9.601344
0.917783,-1.592703,-9.604611
0.923640,-1.600811,-9.605784
0.921393,-1.590917,-9.602237
0.922078,-1.592209,-9.592707
