ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.035758,0.510173,0.195111
0.035553,0.507497,0.194080
0.035348,0.504835,0.193054
0.035145,0.502187,0.192033
0.034944,0.499553,0.191018
0.034743,0.496932,0.190008
0.034544,0.494326,0.189004
0.034346,0.491733,0.188005
0.034149,0.489153,0.187011
0.033953,0.486587,0.186022
0.033759,0.484035,0.185039
0.033566,0.481496,0.184061
0.033374,0.478970,0.183089
0.033183,0.476457,0.182121
0.032993,0.473958,0.181158
0.032804,0.471472,0.180201
0.032617,0.468999,0.179249
0.032431,0.466538,0.178302
0.032246,0.464091,0.177360
0.032062,0.461657,0.176422
0.031879,0.459235,0.175490
0.031697,0.456826,0.174563
0.031516,0.454429,0.173641
0.031337,0.452045,0.172723
0.031158,0.449674,0.171811
0.030981,0.447315,0.170903
0.030805,0.444969,0.170001
0.030629,0.442634,0.169103
0.030455,0.440312,0.168209
0.030282,0.438002,0.167321
0.030110,0.435705,0.166437
0.029939,0.433419,0.165558
0.029769,0.431145,0.164683
0.029600,0.428884,0.163814
0.029432,0.426634,0.162949
0.029265,0.424395,0.162088
0.029099,0.422169,0.161232
0.028934,0.419954,0.160381
0.028770,0.417751,0.159534
0.028607,0.415560,0.158691
0.028445,0.413380,0.157853
0.028284,0.411211,0.157020
0.028124,0.409054,0.156191
0.027965,0.406908,0.155366
0.027807,0.404773,0.154546
0.027650,0.402649,0.153730
0.027494,0.400537,0.152918
0.027338,0.398436,0.152111
0.027184,0.396345,0.151308
0.027031,0.394266,0.150509
0.026878,0.392198,0.149715
0.026727,0.390140,0.148924
0.026576,0.388093,0.148138
0.026426,0.386057,0.147356
0.026277,0.384032,0.146579
0.026129,0.382017,0.145805
0.025982,0.380013,0.145035
0.025836,0.378019,0.144270
0.025690,0.376036,0.143509
0.025546,0.374063,0.142751
0.025402,0.372100,0.141998
0.025259,0.370148,0.141248
0.025117,0.368206,0.140503
0.024976,0.366274,0.139762
0.024836,0.364353,0.139024
0.024697,0.362441,0.138291
0.024558,0.360540,0.137561
0.024420,0.358648,0.136835
0.024283,0.356766,0.136113
