ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.023752,0.150997,-1.968715
0.023579,0.151041,-1.968714
0.023406,0.151085,-1.968713
0.023234,0.151128,-1.968711
0.023063,0.151171,-1.968710
0.022893,0.151214,-1.968709
0.022723,0.151257,-1.968707
0.022555,0.151300,-1.968706
0.022388,0.151342,-1.968705
0.022221,0.151384,-1.968703
0.022055,0.151426,-1.968702
0.021890,0.151467,-1.968701
0.021726,0.151508,-1.968699
0.021563,0.151549,-1.968698
0.021401,0.151590,-1.968696
0.021239,0.151631,-1.968695
0.021079,0.151671,-1.968694
0.020919,0.151712,-1.968692
0.020760,0.151751,-1.968691
0.020602,0.151791,-1.968690
0.020445,0.151831,-1.968688
0.020288,0.151870,-1.968687
0.020133,0.151909,-1.968685
0.019978,0.151948,-1.968684
0.019824,0.151987,-1.968682
0.019671,0.152025,-1.968681
0.019518,0.152063,-1.968680
0.019367,0.152101,-1.968678
0.019216,0.152139,-1.968677
0.019066,0.152177,-1.968675
0.018917,0.152214,-1.968674
0.018768,0.152251,-1.968672
0.018621,0.152288,-1.968671
0.018474,0.152325,-1.968669
0.018328,0.152361,-1.968668
0.018182,0.152398,-1.968667
0.018038,0.152434,-1.968665
0.017894,0.152470,-1.968664
0.017751,0.152506,-1.968662
0.017608,0.152541,-1.968661
0.017467,0.152577,-1.968659
0.017326,0.152612,-1.968658
0.017186,0.152647,-1.968656
0.017046,0.152681,-1.968655
0.016908,0.152716,-1.968653
0.016770,0.152750,-1.968652
0.016633,0.152785,-1.968650
0.016496,0.152819,-1.968649
0.016360,0.152852,-1.968647
0.016225,0.152886,-1.968646
0.016091,0.152920,-1.968644
0.015957,0.152953,-1.968643
0.015824,0.152986,-1.968641
0.015692,0.153019,-1.968640
0.015560,0.153052,-1.968638
0.015430,0.153084,-1.968637
0.015299,0.153116,-1.968635
0.015170,0.153149,-1.968634
0.015041,0.153181,-1.968632
0.014913,0.153213,-1.968631
0.014785,0.153244,-1.968629
0.014659,0.153276,-1.968628
0.014532,0.153307,-1.968626
0.014407,0.153338,-1.968625
0.014282,0.153369,-1.968623
0.014158,0.153400,-1.968622
0.014034,0.153431,-1.968620
0.013912,0.153461,-1.968619
0.013789,0.153491,-1.968617
0.013668,0.153521,-1.968616
0.013547,0.153551,-1.968614
0.013426,0.153581,-1.968613
0.013307,0.153611,-1.968611
0.013188,0.153640,-1.968610
0.013069,0.153670,-1.968608
0.012951,0.153699,-1.968607
0.012834,0.153728,-1.968605
0.012718,0.153757,-1.968604
0.012602,0.153785,-1.968602
0.012486,0.153814,-1.968601
0.012371,0.153842,-1.968599
0.012257,0.153870,-1.968598
0.012144,0.153899,-1.968596
0.012031,0.153926,-1.968595
0.011918,0.153954,-1.968593
0.011806,0.153982,-1.968592
0.011695,0.154009,-1.968590
0.011585,0.154037,-1.968589
0.011475,0.154064,-1.968587
0.011365,0.154091,-1.968586
0.011256,0.154118,-1.968584
0.011148,0.154144,-1.968583
0.011040,0.154171,-1.968581
0.010933,0.154197,-1.968580
0.010826,0.154224,-1.968579
0.010720,0.154250,-1.968577
0.010615,0.154276,-1.968576
0.010510,0.154301,-1.968574
0.010405,0.154327,-1.968573
0.010301,0.154353,-1.968571
0.010198,0.154378,-1.968570
0.010095,0.154403,-1.968568
0.009993,0.154429,-1.968567
0.009891,0.154454,-1.968565
0.009790,0.154479,-1.968564
0.009689,0.154503,-1.968563
0.009589,0.154528,-1.968561
0.009490,0.154552,-1.968560
0.009391,0.154577,-1.968558
0.009292,0.154601,-1.968557
0.009194,0.154625,-1.968555
0.009097,0.154649,-1.968554
0.009000,0.154673,-1.968552
0.008903,0.154696,-1.968551
0.008807,0.154720,-1.968550
0.008711,0.154743,-1.968548
0.008616,0.154767,-1.968547
0.008522,0.154790,-1.968545
0.008428,0.154813,-1.968544
0.008334,0.154836,-1.968543
0.008241,0.154859,-1.968541
0.008149,0.154881,-1.968540
0.008057,0.154904,-1.968538
0.007965,0.154926,-1.968537
0.007874,0.154949,-1.968536
0.007784,0.154971,-1.968534
0.007693,0.154993,-1.968533
0.007604,0.155015,-1.968531
0.007515,0.155037,-1.968530
0.007426,0.155058,-1.968529
0.007338,0.155080,-1.968527
0.007250,0.155101,-1.968526
0.007162,0.155123,-1.968525
0.007076,0.155144,-1.968523
0.006989,0.155165,-1.968522
0.006903,0.155186,-1.968521
0.006818,0.155207,-1.968519
0.006733,0.155228,-1.968518
0.006648,0.155249,-1.968517
0.006564,0.155269,-1.968515
0.006480,0.155290,-1.968514
0.006397,0.155310,-1.968512
0.006314,0.155330,-1.968511
0.006231,0.155350,-1.968510
0.006149,0.155370,-1.968509
0.006068,0.155390,-1.968507
0.005987,0.155410,-1.968506
0.005906,0.155430,-1.968505
0.005826,0.155449,-1.968503
0.005746,0.155469,-1.968502
0.005666,0.155488,-1.968501
0.005587,0.155507,-1.968499
0.005509,0.155527,-1.968498
0.005430,0.155546,-1.968497
0.005353,0.155565,-1.968496
0.005275,0.155583,-1.968494
0.005198,0.155602,-1.968493
0.005122,0.155621,-1.968492
0.005046,0.155639,-1.968490
0.004970,0.155658,-1.968489
0.004894,0.155676,-1.968488
0.004819,0.155694,-1.968487
0.004745,0.155713,-1.968485
0.004671,0.155731,-1.968484
0.004597,0.155749,-1.968483
0.004523,0.155766,-1.968482
0.004450,0.155784,-1.968480
0.004378,0.155802,-1.968479
0.004305,0.155819,-1.968478
0.004233,0.155837,-1.968477
0.004162,0.155854,-1.968475
0.004091,0.155872,-1.968474
0.004020,0.155889,-1.968473
0.003950,0.155906,-1.968472
0.003879,0.155923,-1.968471
0.003810,0.155940,-1.968469
0.003741,0.155957,-1.968468
0.003672,0.155973,-1.968467
0.003603,0.155990,-1.968466
0.003535,0.156007,-1.968465
0.003467,0.156023,-1.968463
0.003399,0.156039,-1.968462
0.003332,0.156056,-1.968461
0.003265,0.156072,-1.968460
0.003199,0.156088,-1.968459
0.003133,0.156104,-1.968458
0.003067,0.156120,-1.968456
0.003002,0.156136,-1.968455
0.002937,0.156152,-1.968454
0.002872,0.156167,-1.968453
0.002808,0.156183,-1.968452
0.002743,0.156199,-1.968451
0.002680,0.156214,-1.968450
0.002616,0.156229,-1.968448
0.002553,0.156245,-1.968447
0.002491,0.156260,-1.968446
0.002428,0.156275,-1.968445
0.002366,0.156290,-1.968444
0.002304,0.156305,-1.968443
0.002243,0.156320,-1.968442
0.002182,0.156335,-1.968441
0.002121,0.156349,-1.968439
0.002061,0.156364,-1.968438
0.002001,0.156378,-1.968437
0.001941,0.156393,-1.968436
0.001881,0.156407,-1.968435
0.001822,0.156422,-1.968434
0.001763,0.156436,-1.968433
0.001705,0.156450,-1.968432
0.001646,0.156464,-1.968431
0.001588,0.156478,-1.968430
0.001531,0.156492,-1.968429
0.001473,0.156506,-1.968428
0.001416,0.156520,-1.968427
0.001359,0.156533,-1.968426
0.001303,0.156547,-1.968424
0.001247,0.156561,-1.968423
0.001191,0.156574,-1.968422
0.001135,0.156588,-1.968421
0.001080,0.156601,-1.968420
0.001025,0.156614,-1.968419
0.000970,0.156627,-1.968418
0.000916,0.156641,-1.968417
0.000862,0.156654,-1.968416
0.000808,0.156667,-1.968415
0.000754,0.156680,-1.968414
0.000701,0.156692,-1.968413
0.000648,0.156705,-1.968412
0.000595,0.156718,-1.968411
0.000543,0.156731,-1.968410
0.000491,0.156743,-1.968409
0.000439,0.156756,-1.968408
0.000387,0.156768,-1.968407
0.000336,0.156781,-1.968406
0.000285,0.156793,-1.968405
0.000234,0.156805,-1.968404
0.000183,0.156817,-1.968403
0.000133,0.156829,-1.968402
0.000083,0.156841,-1.968401
0.000033,0.156853,-1.968400
-0.000016,0.156865,-1.968400
-0.000065,0.156877,-1.968399
-0.000114,0.156889,-1.968398
-0.000163,0.156901,-1.968397
-0.000212,0.156912,-1.968396
-0.000260,0.156924,-1.968395
-0.000308,0.156936,-1.968394
-0.000355,0.156947,-1.968393
-0.000403,0.156959,-1.968392
-0.000450,0.156970,-1.968391
-0.000497,0.156981,-1.968390
-0.000544,0.156992,-1.968389
-0.000590,0.157004,-1.968388
-0.000637,0.157015,-1.968388
-0.000683,0.157026,-1.968387
-0.000728,0.157037,-1.968386
-0.000774,0.157048,-1.968385
-0.000819,0.157059,-1.968384
-0.000864,0.157070,-1.968383
-0.000909,0.157080,-1.968382
-0.000953,0.157091,-1.968381
-0.000998,0.157102,-1.968380
-0.001042,0.157112,-1.968380
-0.001086,0.157123,-1.968379
-0.001129,0.157133,-1.968378
-0.001173,0.157144,-1.968377
-0.001216,0.157154,-1.968376
-0.001259,0.157164,-1.968375
-0.001302,0.157175,-1.968374
-0.001344,0.157185,-1.968374
-0.001386,0.157195,-1.968373
-0.001428,0.157205,-1.968372
-0.001470,0.157215,-1.968371
-0.001512,0.157225,-1.968370
-0.001553,0.157235,-1.968369
-0.001595,0.157245,-1.968369
-0.001635,0.157255,-1.968368
-0.001676,0.157265,-1.968367
-0.001717,0.157274,-1.968366
-0.001757,0.157284,-1.968365
-0.001797,0.157294,-1.968365
-0.001837,0.157303,-1.968364
-0.001877,0.157313,-1.968363
-0.001916,0.157322,-1.968362
-0.001956,0.157332,-1.968361
-0.001995,0.157341,-1.968361
-0.002034,0.157350,-1.968360
-0.002072,0.157360,-1.968359
-0.002111,0.157369,-1.968358
-0.002149,0.157378,-1.968357
-0.002187,0.157387,-1.968357
-0.002225,0.157396,-1.968356
-0.002262,0.157405,-1.968355
-0.002300,0.157414,-1.968354
-0.002337,0.157423,-1.968354
-0.002374,0.157432,-1.968353
