ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.673263,-0.028573,-9.757240
0.673610,-0.028589,-9.757215
0.673955,-0.028604,-9.757190
0.674298,-0.028619,-9.757166
0.674639,-0.028634,-9.757141
0.674979,-0.028649,-9.757116
0.675317,-0.028664,-9.757092
0.675653,-0.028679,-9.757068
0.675987,-0.028694,-9.757044
0.676320,-0.028709,-9.757019
0.676650,-0.028723,-9.756996
0.676979,-0.028738,-9.756972
0.677307,-0.028752,-9.756948
0.677632,-0.028767,-9.756924
0.677956,-0.028781,-9.756901
0.678278,-0.028795,-9.756878
0.678599,-0.028809,-9.756854
0.678918,-0.028823,-9.756831
0.679235,-0.028837,-9.756808
0.679550,-0.028851,-9.756785
0.679864,-0.028865,-9.756762
0.680176,-0.028879,-9.756740
0.680487,-0.028893,-9.756717
0.680796,-0.028906,-9.756695
0.681103,-0.028920,-9.756672
0.681408,-0.028933,-9.756650
0.681712,-0.028947,-9.756628
0.682015,-0.028960,-9.756606
0.682316,-0.028974,-9.756584
0.682615,-0.028987,-9.756562
0.682913,-0.029000,-9.756540
0.683209,-0.029013,-9.756519
0.683503,-0.029026,-9.756497
0.683797,-0.029039,-9.756476
0.684088,-0.029052,-9.756455
0.684378,-0.029065,-9.756433
0.684666,-0.029077,-9.756412
0.684953,-0.029090,-9.756391
0.685239,-0.029103,-9.756371
0.685523,-0.029115,-9.756350
0.685805,-0.029128,-9.756329
0.686086,-0.029140,-9.756309
0.686366,-0.029152,-9.756288
0.686644,-0.029165,-9.756268
0.686920,-0.029177,-9.756247
0.687195,-0.029189,-9.756227
0.687469,-0.029201,-9.756207
0.687741,-0.029213,-9.756187
0.688012,-0.029225,-9.756167
0.688281,-0.029237,-9.756148
0.688549,-0.029249,-9.756128
0.688816,-0.029260,-9.756108
0.689081,-0.029272,-9.756089
0.689345,-0.029284,-9.756070
0.689607,-0.029295,-9.756050
0.689868,-0.029307,-9.756031
0.690128,-0.029318,-9.756012
0.690386,-0.029330,-9.755993
0.690643,-0.029341,-9.755974
0.690898,-0.029352,-9.755955
0.691153,-0.029363,-9.755937
0.691406,-0.029375,-9.755918
0.691657,-0.029386,-9.755899
0.691907,-0.029397,-9.755881
0.692156,-0.029408,-9.755863
0.692404,-0.029418,-9.755844
0.692650,-0.029429,-9.755826
0.692895,-0.029440,-9.755808
0.693139,-0.029451,-9.755790
0.693381,-0.029462,-9.755772
0.693622,-0.029472,-9.755754
0.693862,-0.029483,-9.755737
0.694101,-0.029493,-9.755719
0.694338,-0.029504,-9.755702
0.694575,-0.029514,-9.755684
0.694810,-0.029524,-9.755667
0.695043,-0.029535,-9.755649
0.695276,-0.029545,-9.755632
0.695507,-0.029555,-9.755615
0.695737,-0.029565,-9.755598
0.695966,-0.029575,-9.755581
0.696193,-0.029585,-9.755564
0.696420,-0.029595,-9.755548
0.696645,-0.029605,-9.755531
0.696869,-0.029615,-9.755514
0.697092,-0.029625,-9.755498
0.697314,-0.029635,-9.755481
0.697534,-0.029644,-9.755465
0.697753,-0.029654,-9.755449
0.697972,-0.029664,-9.755433
0.698189,-0.029673,-9.755416
0.698405,-0.029683,-9.755400
0.698619,-0.029692,-9.755384
0.698833,-0.029701,-9.755369
0.699046,-0.029711,-9.755353
0.699257,-0.029720,-9.755337
0.699467,-0.029729,-9.755321
0.699677,-0.029739,-9.755306
0.699885,-0.029748,-9.755290
0.700092,-0.029757,-9.755275
0.700298,-0.029766,-9.755260
0.700503,-0.029775,-9.755244
0.700706,-0.029784,-9.755229
0.700909,-0.029793,-9.755214
0.701111,-0.029802,-9.755199
0.701311,-0.029810,-9.755184
0.701511,-0.029819,-9.755169
0.701709,-0.029828,-9.755155
0.701907,-0.029837,-9.755140
0.702103,-0.029845,-9.755125
0.702299,-0.029854,-9.755111
0.702493,-0.029862,-9.755096
0.702686,-0.029871,-9.755082
0.702879,-0.029879,-9.755067
0.703070,-0.029888,-9.755053
0.703260,-0.029896,-9.755039
0.703450,-0.029904,-9.755025
0.703638,-0.029913,-9.755011
0.703825,-0.029921,-9.754997
0.704012,-0.029929,-9.754983
0.704197,-0.029937,-9.754969
0.704381,-0.029945,-9.754955
0.704565,-0.029953,-9.754941
0.704747,-0.029961,-9.754928
0.704929,-0.029969,-9.754914
0.705109,-0.029977,-9.754901
0.705289,-0.029985,-9.754887
0.705467,-0.029993,-9.754874
0.705645,-0.030001,-9.754861
0.705822,-0.030009,-9.754847
