ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.448962,0.898464,-5.551610
6378137.450098,0.901181,-5.569870
6378137.451234,0.903899,-5.588130
6378137.452370,0.906617,-5.606390
6378137.453505,0.909336,-5.624650
6378137.454641,0.912056,-5.642910
6378137.455776,0.914777,-5.661170
6378137.456912,0.917499,-5.679430
6378137.458047,0.920221,-5.697689
6378137.459183,0.922944,-5.715949
6378137.460318,0.925667,-5.734208
6378137.461453,0.928392,-5.752467
6378137.462588,0.931117,-5.770727
6378137.463723,0.933843,-5.788986
6378137.464858,0.936569,-5.807245
6378137.465993,0.939297,-5.825504
6378137.467128,0.942024,-5.843762
6378137.468263,0.944753,-5.862021
6378137.469398,0.947482,-5.880279
6378137.470532,0.950212,-5.898538
6378137.471667,0.952943,-5.916796
6378137.472802,0.955675,-5.935055
6378137.473936,0.958407,-5.953313
6378137.475070,0.961139,-5.971571
6378137.476205,0.963873,-5.989829
6378137.477339,0.966607,-6.008087
6378137.478473,0.969342,-6.026344
6378137.479607,0.972077,-6.044602
6378137.480742,0.974813,-6.062860
6378137.481876,0.977550,-6.081117
6378137.483010,0.980287,-6.099375
6378137.484143,0.983025,-6.117632
6378137.485277,0.985764,-6.135889
6378137.486411,0.988503,-6.154146
6378137.487545,0.991243,-6.172403
6378137.488678,0.993984,-6.190660
6378137.489812,0.996725,-6.208917
6378137.490946,0.999467,-6.227174
6378137.492079,1.002210,-6.245430
6378137.493212,1.004953,-6.263687
6378137.494346,1.007696,-6.281943
6378137.495479,1.010441,-6.300200
6378137.496612,1.013186,-6.318456
6378137.497745,1.015931,-6.336712
6378137.498879,1.018678,-6.354969
6378137.500012,1.021424,-6.373225
6378137.501145,1.024172,-6.391481
6378137.502278,1.026920,-6.409736
6378137.503410,1.029668,-6.427992
6378137.504543,1.032417,-6.446248
6378137.505676,1.035167,-6.464503
6378137.506809,1.037917,-6.482759
6378137.507941,1.040668,-6.501014
6378137.509074,1.043420,-6.519270
6378137.510206,1.046172,-6.537525
6378137.511339,1.048925,-6.555780
6378137.512471,1.051678,-6.574035
6378137.513604,1.054432,-6.592290
6378137.514736,1.057186,-6.610545
6378137.515868,1.059941,-6.628800
6378137.517001,1.062696,-6.647055
6378137.518133,1.065452,-6.665310
6378137.519265,1.068209,-6.683564
6378137.520397,1.070966,-6.701819
6378137.521529,1.073724,-6.720073
6378137.522661,1.076482,-6.738328
6378137.523793,1.079240,-6.756582
6378137.524924,1.082000,-6.774836
6378137.526056,1.084760,-6.793091
6378137.527188,1.087520,-6.811345
6378137.528320,1.090281,-6.829599
6378137.529451,1.093042,-6.847853
6378137.530583,1.095804,-6.866106
6378137.531714,1.098566,-6.884360
6378137.532846,1.101329,-6.902614
6378137.533977,1.104093,-6.920867
6378137.535109,1.106857,-6.939121
6378137.536240,1.109621,-6.957375
6378137.537371,1.112386,-6.975628
6378137.538502,1.115152,-6.993881
6378137.539634,1.117918,-7.012134
6378137.540765,1.120684,-7.030388
6378137.541896,1.123451,-7.048641
6378137.543027,1.126219,-7.066894
6378137.544158,1.128987,-7.085147
6378137.545289,1.131755,-7.103400
6378137.546420,1.134524,-7.121653
6378137.547551,1.137294,-7.139905
6378137.548681,1.140064,-7.158158
6378137.549812,1.142834,-7.176411
