ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.269343,0.006032,2.635854
1.271153,0.006040,2.639614
1.272954,0.006049,2.643354
1.274746,0.006057,2.647074
1.276528,0.006066,2.650775
1.278301,0.006074,2.654457
1.280065,0.006083,2.658119
1.281819,0.006091,2.661762
1.283564,0.006099,2.665386
1.285300,0.006108,2.668991
1.287027,0.006116,2.672577
1.288745,0.006124,2.676144
1.290454,0.006132,2.679692
1.292154,0.006140,2.683222
1.293844,0.006148,2.686733
1.295527,0.006156,2.690226
1.297200,0.006164,2.693700
1.298864,0.006172,2.697157
1.300520,0.006180,2.700595
1.302167,0.006188,2.704015
1.303805,0.006195,2.707417
1.305435,0.006203,2.710801
1.307056,0.006211,2.714167
1.308669,0.006219,2.717516
1.310273,0.006226,2.720847
1.311869,0.006234,2.724161
1.313456,0.006241,2.727457
1.315035,0.006249,2.730736
1.316606,0.006256,2.733998
1.318168,0.006264,2.737243
1.319723,0.006271,2.740470
1.321269,0.006278,2.743681
1.322807,0.006286,2.746875
1.324337,0.006293,2.750052
1.325859,0.006300,2.753212
1.327373,0.006307,2.756356
1.328879,0.006315,2.759484
1.330377,0.006322,2.762594
1.331867,0.006329,2.765689
1.333350,0.006336,2.768767
1.334824,0.006343,2.771829
1.336291,0.006350,2.774876
1.337750,0.006357,2.777906
1.339202,0.006364,2.780920
1.340646,0.006371,2.783918
1.342082,0.006377,2.786901
1.343511,0.006384,2.789868
1.344932,0.006391,2.792819
1.346346,0.006398,2.795755
1.347752,0.006404,2.798676
1.349151,0.006411,2.801581
1.350543,0.006418,2.804471
1.351928,0.006424,2.807345
1.353305,0.006431,2.810205
1.354675,0.006437,2.813050
1.356037,0.006444,2.815879
1.357393,0.006450,2.818694
1.358741,0.006457,2.821494
1.360083,0.006463,2.824280
1.361417,0.006469,2.827050
1.362744,0.006476,2.829807
1.364064,0.006482,2.832548
1.365378,0.006488,2.835276
1.366684,0.006494,2.837989
1.367984,0.006500,2.840688
1.369277,0.006507,2.843372
1.370563,0.006513,2.846043
1.371842,0.006519,2.848699
1.373115,0.006525,2.851342
1.374381,0.006531,2.853970
1.375640,0.006537,2.856585
1.376893,0.006543,2.859187
1.378139,0.006549,2.861774
1.379378,0.006555,2.864348
1.380611,0.006560,2.866908
1.381838,0.006566,2.869455
1.383058,0.006572,2.871989
1.384272,0.006578,2.874509
1.385479,0.006584,2.877016
1.386680,0.006589,2.879510
1.387875,0.006595,2.881991
1.389063,0.006601,2.884459
1.390245,0.006606,2.886914
1.391421,0.006612,2.889356
1.392591,0.006617,2.891785
1.393755,0.006623,2.894201
1.394912,0.006628,2.896605
1.396064,0.006634,2.898996
1.397209,0.006639,2.901375
1.398348,0.006645,2.903741
1.399482,0.006650,2.906094
1.400609,0.006655,2.908436
1.401731,0.006661,2.910765
1.402847,0.006666,2.913081
1.403956,0.006671,2.915386
1.405060,0.006677,2.917679
1.406159,0.006682,2.919959
1.407251,0.006687,2.922228
1.408338,0.006692,2.924484
1.409419,0.006697,2.926729
1.410494,0.006702,2.928962
1.411564,0.006708,2.931183
1.412628,0.006713,2.933393
1.413686,0.006718,2.935591
1.414739,0.006723,2.937777
1.415787,0.006728,2.939952
1.416829,0.006733,2.942116
1.417865,0.006737,2.944268
1.418896,0.006742,2.946409
1.419922,0.006747,2.948538
1.420942,0.006752,2.950657
1.421957,0.006757,2.952764
1.422966,0.006762,2.954861
1.423970,0.006766,2.956946
1.424969,0.006771,2.959020
1.425963,0.006776,2.961084
1.426951,0.006781,2.963136
1.427935,0.006785,2.965178
1.428913,0.006790,2.967209
1.429886,0.006795,2.969230
1.430854,0.006799,2.971240
1.431817,0.006804,2.973239
1.432774,0.006808,2.975228
