ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-0.133769,1.305113,0.886639
-0.133268,1.298262,0.881954
-0.132767,1.291447,0.877295
-0.132267,1.284668,0.872660
-0.131767,1.277925,0.868049
-0.131268,1.271216,0.863463
-0.130770,1.264543,0.858902
-0.130272,1.257905,0.854364
-0.129774,1.251302,0.849851
-0.129278,1.244734,0.845362
-0.128782,1.238200,0.840896
-0.128287,1.231700,0.836454
-0.127792,1.225235,0.832036
-0.127298,1.218803,0.827641
-0.126805,1.212405,0.823270
-0.126313,1.206041,0.818921
-0.125821,1.199710,0.814596
-0.125330,1.193412,0.810294
-0.124840,1.187148,0.806014
-0.124351,1.180916,0.801757
-0.123863,1.174717,0.797523
-0.123375,1.168551,0.793311
-0.122889,1.162417,0.789122
-0.122403,1.156315,0.784955
-0.121918,1.150245,0.780810
-0.121434,1.144207,0.776687
-0.120951,1.138201,0.772586
-0.120468,1.132226,0.768506
-0.119987,1.126282,0.764448
-0.119507,1.120370,0.760412
-0.119027,1.114489,0.756397
-0.118549,1.108639,0.752403
-0.118071,1.102819,0.748431
-0.117595,1.097030,0.744480
-0.117119,1.091272,0.740549
-0.116645,1.085543,0.736639
-0.116171,1.079845,0.732751
-0.115699,1.074176,0.728882
-0.115228,1.068538,0.725035
-0.114757,1.062929,0.721207
-0.114288,1.057349,0.717400
-0.113820,1.051799,0.713613
-0.113353,1.046277,0.709847
-0.112886,1.040785,0.706100
-0.112421,1.035322,0.702373
-0.111958,1.029887,0.698666
-0.111495,1.024481,0.694978
-0.111033,1.019103,0.691310
-0.110573,1.013754,0.687661
-0.110113,1.008432,0.684032
-0.109655,1.003138,0.680422
-0.109198,0.997873,0.676831
-0.108742,0.992635,0.673260
-0.108287,0.987424,0.669707
-0.107833,0.982241,0.666173
-0.107381,0.977085,0.662657
-0.106930,0.971956,0.659160
-0.106480,0.966853,0.655682
-0.106031,0.961778,0.652222
-0.105583,0.956729,0.648781
-0.105137,0.951707,0.645358
-0.104691,0.946712,0.641953
-0.104247,0.941742,0.638566
-0.103805,0.936798,0.635197
-0.103363,0.931881,0.631845
-0.102923,0.926989,0.628512
-0.102483,0.922123,0.625196
-0.102046,0.917283,0.621898
-0.101609,0.912468,0.618617
-0.101174,0.907678,0.615354
-0.100739,0.902913,0.612107
-0.100307,0.898173,0.608878
-0.099875,0.893459,0.605667
-0.099445,0.888769,0.602472
-0.099016,0.884103,0.599294
-0.098588,0.879462,0.596133
-0.098161,0.874846,0.592988
-0.097736,0.870253,0.589861
-0.097312,0.865685,0.586750
-0.096890,0.861141,0.583655
-0.096468,0.856621,0.580577
-0.096048,0.852124,0.577515
-0.095629,0.847651,0.574469
-0.095212,0.843201,0.571439
-0.094796,0.838775,0.568426
-0.094381,0.834372,0.565428
-0.093967,0.829992,0.562446
-0.093555,0.825635,0.559480
-0.093144,0.821301,0.556530
-0.092735,0.816990,0.553595
-0.092327,0.812701,0.550676
-0.091920,0.808435,0.547772
-0.091514,0.804192,0.544884
-0.091110,0.799970,0.542011
-0.090707,0.795771,0.539153
-0.090305,0.791594,0.536310
-0.089905,0.787438,0.533483
-0.089506,0.783305,0.530670
-0.089108,0.779193,0.527872
-0.088712,0.775103,0.525089
-0.088317,0.771034,0.522321
-0.087923,0.766987,0.519567
-0.087531,0.762960,0.516828
-0.087140,0.758955,0.514103
-0.086750,0.754971,0.511393
-0.086362,0.751008,0.508697
-0.085975,0.747066,0.506016
-0.085589,0.743145,0.503348
-0.085205,0.739244,0.500695
-0.084822,0.735363,0.498056
-0.084440,0.731503,0.495431
-0.084060,0.727663,0.492819
-0.083681,0.723843,0.490222
-0.083303,0.720044,0.487638
-0.082927,0.716264,0.485067
-0.082552,0.712504,0.482511
-0.082178,0.708764,0.479968
-0.081806,0.705043,0.477438
-0.081435,0.701342,0.474922
-0.081065,0.697661,0.472419
-0.080697,0.693999,0.469929
-0.080330,0.690356,0.467453
-0.079964,0.686732,0.464989
-0.079600,0.683127,0.462539
-0.079237,0.679541,0.460101
-0.078875,0.675974,0.457677
-0.078515,0.672425,0.455265
-0.078156,0.668896,0.452866
-0.077798,0.665384,0.450480
-0.077442,0.661892,0.448106
-0.077087,0.658417,0.445745
-0.076733,0.654961,0.443396
-0.076381,0.651523,0.441060
-0.076030,0.648103,0.438736
-0.075680,0.644701,0.436424
-0.075331,0.641316,0.434125
-0.074984,0.637950,0.431838
-0.074639,0.634601,0.429563
-0.074294,0.631270,0.427300
-0.073951,0.627956,0.425048
-0.073609,0.624660,0.422809
-0.073269,0.621381,0.420582
-0.072929,0.618119,0.418366
-0.072591,0.614874,0.416162
-0.072255,0.611647,0.413970
-0.071919,0.608436,0.411789
-0.071585,0.605242,0.409620
-0.071253,0.602065,0.407462
-0.070921,0.598905,0.405316
-0.070591,0.595761,0.403181
-0.070262,0.592633,0.401057
-0.069935,0.589523,0.398944
-0.069608,0.586428,0.396843
-0.069283,0.583350,0.394753
-0.068960,0.580287,0.392674
-0.068637,0.577241,0.390605
-0.068316,0.574211,0.388548
-0.067996,0.571197,0.386502
-0.067678,0.568199,0.384466
-0.067360,0.565216,0.382441
-0.067044,0.562249,0.380427
-0.066729,0.559298,0.378423
-0.066416,0.556362,0.376431
-0.066104,0.553441,0.374448
-0.065793,0.550536,0.372476
-0.065483,0.547646,0.370515
-0.065174,0.544771,0.368563
-0.064867,0.541912,0.366623
-0.064561,0.539067,0.364692
-0.064256,0.536237,0.362772
-0.063953,0.533422,0.360861
-0.063650,0.530622,0.358961
-0.063349,0.527837,0.357071
-0.063050,0.525066,0.355191
-0.062751,0.522310,0.353320
-0.062454,0.519568,0.351460
-0.062157,0.516841,0.349609
-0.061863,0.514128,0.347769
-0.061569,0.511429,0.345938
-0.061276,0.508744,0.344116
-0.060985,0.506074,0.342304
-0.060695,0.503417,0.340502
-0.060406,0.500775,0.338709
-0.060119,0.498146,0.336926
-0.059832,0.495531,0.335152
-0.059547,0.492930,0.333388
-0.059263,0.490342,0.331633
-0.058980,0.487768,0.329887
-0.058698,0.485208,0.328150
-0.058418,0.482661,0.326423
-0.058139,0.480127,0.324704
-0.057860,0.477607,0.322995
-0.057583,0.475100,0.321295
-0.057308,0.472606,0.319603
-0.057033,0.470125,0.317921
-0.056760,0.467657,0.316247
-0.056487,0.465202,0.314583
-0.056216,0.462760,0.312927
-0.055946,0.460331,0.311280
-0.055678,0.457915,0.309641
-0.055410,0.455511,0.308011
-0.055143,0.453120,0.306390
-0.054878,0.450741,0.304777
-0.054614,0.448375,0.303173
-0.054351,0.446021,0.301578
-0.054089,0.443680,0.299990
-0.053828,0.441351,0.298411
-0.053568,0.439034,0.296841
-0.053310,0.436730,0.295279
-0.053052,0.434437,0.293724
-0.052796,0.432157,0.292179
-0.052541,0.429888,0.290641
-0.052287,0.427632,0.289111
-0.052034,0.425387,0.287590
