ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.064026,0.355952,-3.646659
6378137.063800,0.357532,-3.665750
6378137.063573,0.359114,-3.684842
6378137.063344,0.360696,-3.703933
6378137.063113,0.362279,-3.723025
6378137.062881,0.363863,-3.742116
6378137.062648,0.365448,-3.761207
6378137.062412,0.367034,-3.780298
6378137.062176,0.368621,-3.799389
6378137.061938,0.370208,-3.818480
6378137.061698,0.371797,-3.837571
6378137.061457,0.373386,-3.856662
6378137.061214,0.374976,-3.875753
6378137.060970,0.376567,-3.894843
6378137.060724,0.378159,-3.913934
6378137.060477,0.379751,-3.933024
6378137.060228,0.381345,-3.952115
6378137.059978,0.382939,-3.971205
6378137.059726,0.384534,-3.990295
6378137.059473,0.386130,-4.009385
6378137.059219,0.387726,-4.028475
6378137.058963,0.389324,-4.047565
6378137.058706,0.390922,-4.066655
6378137.058447,0.392521,-4.085745
6378137.058187,0.394121,-4.104834
6378137.057925,0.395721,-4.123924
6378137.057662,0.397323,-4.143013
6378137.057398,0.398925,-4.162103
6378137.057132,0.400528,-4.181192
6378137.056865,0.402132,-4.200281
6378137.056597,0.403736,-4.219370
6378137.056327,0.405341,-4.238459
6378137.056056,0.406947,-4.257548
6378137.055783,0.408554,-4.276637
6378137.055509,0.410161,-4.295726
6378137.055234,0.411769,-4.314815
6378137.054958,0.413378,-4.333903
6378137.054680,0.414988,-4.352992
6378137.054401,0.416598,-4.372080
6378137.054120,0.418209,-4.391169
6378137.053839,0.419821,-4.410257
6378137.053556,0.421434,-4.429345
6378137.053271,0.423047,-4.448434
6378137.052986,0.424661,-4.467522
6378137.052699,0.426275,-4.486610
6378137.052411,0.427891,-4.505698
6378137.052122,0.429507,-4.524785
6378137.051831,0.431124,-4.543873
6378137.051539,0.432741,-4.562961
6378137.051246,0.434359,-4.582049
6378137.050952,0.435978,-4.601136
6378137.050656,0.437597,-4.620224
6378137.050359,0.439217,-4.639311
6378137.050061,0.440838,-4.658398
6378137.049762,0.442460,-4.677486
6378137.049462,0.444082,-4.696573
6378137.049160,0.445704,-4.715660
6378137.048857,0.447328,-4.734747
6378137.048553,0.448952,-4.753834
6378137.048248,0.450577,-4.772921
6378137.047942,0.452202,-4.792007
6378137.047635,0.453828,-4.811094
6378137.047326,0.455455,-4.830181
6378137.047016,0.457082,-4.849267
6378137.046705,0.458710,-4.868354
6378137.046393,0.460338,-4.887440
6378137.046080,0.461967,-4.906527
6378137.045766,0.463597,-4.925613
6378137.045450,0.465227,-4.944699
6378137.045134,0.466858,-4.963785
6378137.044816,0.468490,-4.982871
6378137.044497,0.470122,-5.001957
6378137.044177,0.471755,-5.021043
6378137.043856,0.473388,-5.040129
6378137.043534,0.475022,-5.059215
6378137.043211,0.476657,-5.078301
6378137.042887,0.478292,-5.097386
6378137.042561,0.479928,-5.116472
6378137.042235,0.481564,-5.135558
6378137.041908,0.483201,-5.154643
6378137.041579,0.484838,-5.173728
6378137.041250,0.486476,-5.192814
6378137.040919,0.488115,-5.211899
6378137.040587,0.489754,-5.230984
6378137.040255,0.491394,-5.250069
6378137.039921,0.493034,-5.269154
6378137.039586,0.494675,-5.288239
6378137.039251,0.496316,-5.307324
6378137.038914,0.497958,-5.326409
6378137.038576,0.499601,-5.345494
6378137.038237,0.501244,-5.364579
6378137.037898,0.502887,-5.383663
6378137.037557,0.504532,-5.402748
6378137.037215,0.506176,-5.421833
6378137.036873,0.507821,-5.440917
6378137.036529,0.509467,-5.460002
6378137.036184,0.511113,-5.479086
6378137.035839,0.512760,-5.498170
6378137.035492,0.514407,-5.517254
6378137.035145,0.516055,-5.536339
6378137.034796,0.517703,-5.555423
6378137.034447,0.519352,-5.574507
6378137.034096,0.521002,-5.593591
6378137.033745,0.522651,-5.612675
6378137.033393,0.524302,-5.631758
6378137.033040,0.525953,-5.650842
6378137.032686,0.527604,-5.669926
6378137.032331,0.529256,-5.689010
6378137.031975,0.530908,-5.708093
6378137.031618,0.532561,-5.727177
6378137.031260,0.534214,-5.746260
6378137.030901,0.535868,-5.765344
6378137.030542,0.537522,-5.784427
6378137.030181,0.539177,-5.803511
6378137.029820,0.540832,-5.822594
6378137.029458,0.542488,-5.841677
6378137.029095,0.544144,-5.860760
6378137.028731,0.545800,-5.879843
6378137.028366,0.547458,-5.898926
6378137.028001,0.549115,-5.918009
6378137.027634,0.550773,-5.937092
6378137.027267,0.552432,-5.956175
6378137.026899,0.554090,-5.975258
6378137.026529,0.555750,-5.994341
6378137.026160,0.557410,-6.013423
6378137.025789,0.559070,-6.032506
6378137.025417,0.560731,-6.051589
6378137.025045,0.562392,-6.070671
6378137.024672,0.564053,-6.089754
6378137.024298,0.565715,-6.108836
6378137.023923,0.567378,-6.127919
6378137.023547,0.569041,-6.147001
6378137.023171,0.570704,-6.166083
6378137.022793,0.572368,-6.185165
6378137.022415,0.574032,-6.204247
6378137.022037,0.575697,-6.223330
