ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.616657,-4.137778,-16.155976
27.616275,-4.143163,-16.155250
27.615893,-4.148520,-16.154527
27.615513,-4.153848,-16.153808
27.615134,-4.159148,-16.153092
27.614756,-4.164421,-16.152380
27.614379,-4.169665,-16.151671
27.614003,-4.174882,-16.150965
27.613629,-4.180072,-16.150263
27.613256,-4.185233,-16.149565
27.612884,-4.190368,-16.148870
27.612513,-4.195476,-16.148178
27.612143,-4.200556,-16.147489
27.611774,-4.205610,-16.146804
27.611407,-4.210637,-16.146122
27.611041,-4.215638,-16.145444
27.610675,-4.220612,-16.144768
27.610312,-4.225560,-16.144096
27.609949,-4.230482,-16.143428
27.609587,-4.235378,-16.142762
27.609227,-4.240248,-16.142100
27.608868,-4.245092,-16.141441
27.608510,-4.249911,-16.140785
27.608153,-4.254705,-16.140133
27.607797,-4.259473,-16.139483
27.607443,-4.264216,-16.138837
27.607090,-4.268933,-16.138194
27.606738,-4.273626,-16.137554
27.606387,-4.278295,-16.136917
27.606037,-4.282938,-16.136284
27.605689,-4.287557,-16.135653
27.605342,-4.292152,-16.135025
27.604996,-4.296723,-16.134401
27.604651,-4.301269,-16.133780
27.604307,-4.305792,-16.133161
27.603965,-4.310290,-16.132546
27.603624,-4.314765,-16.131934
27.603284,-4.319216,-16.131324
27.602945,-4.323644,-16.130718
27.602607,-4.328048,-16.130114
27.602271,-4.332430,-16.129514
27.601935,-4.336788,-16.128917
27.601601,-4.341123,-16.128322
27.601268,-4.345435,-16.127731
27.600937,-4.349725,-16.127142
27.600606,-4.353991,-16.126556
27.600277,-4.358236,-16.125973
27.599949,-4.362458,-16.125393
27.599622,-4.366657,-16.124816
27.599296,-4.370835,-16.124242
27.598972,-4.374991,-16.123670
27.598648,-4.379124,-16.123101
27.598326,-4.383236,-16.122535
27.598005,-4.387326,-16.121972
27.597685,-4.391395,-16.121412
27.597367,-4.395442,-16.120854
27.597049,-4.399468,-16.120300
27.596733,-4.403472,-16.119748
27.596418,-4.407456,-16.119198
27.596104,-4.411418,-16.118652
27.595792,-4.415360,-16.118108
27.595480,-4.419280,-16.117566
27.595170,-4.423181,-16.117028
27.594861,-4.427060,-16.116492
27.594553,-4.430919,-16.115959
27.594246,-4.434758,-16.115428
27.593940,-4.438576,-16.114900
27.593636,-4.442375,-16.114375
27.593333,-4.446153,-16.113852
