q0 (),q1,q2,q3
0.996865,0.055693,0.020236,0.052430
0.996862,0.055719,0.020247,0.052454
0.996859,0.055744,0.020257,0.052478
0.996856,0.055769,0.020268,0.052501
0.996854,0.055794,0.020279,0.052525
0.996851,0.055819,0.020289,0.052548
0.996848,0.055843,0.020300,0.052571
0.996845,0.055868,0.020310,0.052594
0.996842,0.055892,0.020320,0.052617
0.996840,0.055917,0.020331,0.052640
0.996837,0.055941,0.020341,0.052662
0.996834,0.055965,0.020351,0.052685
0.996831,0.055989,0.020361,0.052707
0.996829,0.056012,0.020371,0.052730
0.996826,0.056036,0.020381,0.052752
0.996823,0.056060,0.020391,0.052774
0.996820,0.056083,0.020401,0.052796
0.996818,0.056106,0.020411,0.052818
0.996815,0.056129,0.020421,0.052839
0.996813,0.056152,0.020431,0.052861
0.996810,0.056175,0.020441,0.052883
0.996807,0.056198,0.020450,0.052904
0.996805,0.056221,0.020460,0.052925
0.996802,0.056243,0.020470,0.052946
0.996799,0.056266,0.020479,0.052967
0.996797,0.056288,0.020489,0.052988
0.996794,0.056310,0.020498,0.053009
0.996792,0.056332,0.020507,0.053030
0.996789,0.056354,0.020517,0.053050
0.996787,0.056376,0.020526,0.053071
0.996784,0.056398,0.020535,0.053091
0.996782,0.056419,0.020544,0.053112
0.996779,0.056441,0.020554,0.053132
0.996777,0.056462,0.020563,0.053152
0.996774,0.056484,0.020572,0.053172
0.996772,0.056505,0.020581,0.053192
0.996770,0.056526,0.020590,0.053211
0.996767,0.056547,0.020599,0.053231
0.996765,0.056568,0.020608,0.053251
0.996762,0.056588,0.020616,0.053270
0.996760,0.056609,0.020625,0.053289
0.996758,0.056629,0.020634,0.053309
0.996755,0.056650,0.020643,0.053328
0.996753,0.056670,0.020651,0.053347
0.996750,0.056690,0.020660,0.053366
0.996748,0.056710,0.020668,0.053385
0.996746,0.056730,0.020677,0.053403
0.996744,0.056750,0.020685,0.053422
0.996741,0.056770,0.020694,0.053440
0.996739,0.056790,0.020702,0.053459
0.996737,0.056809,0.020710,0.053477
0.996734,0.056829,0.020719,0.053496
0.996732,0.056848,0.020727,0.053514
0.996730,0.056867,0.020735,0.053532
0.996728,0.056886,0.020743,0.053550
0.996725,0.056905,0.020751,0.053568
0.996723,0.056924,0.020760,0.053585
0.996721,0.056943,0.020768,0.053603
0.996719,0.056962,0.020776,0.053621
0.996717,0.056981,0.020784,0.053638
0.996715,0.056999,0.020791,0.053655
0.996712,0.057017,0.020799,0.053673
0.996710,0.057036,0.020807,0.053690
0.996708,0.057054,0.020815,0.053707
0.996706,0.057072,0.020823,0.053724
0.996704,0.057090,0.020830,0.053741
0.996702,0.057108,0.020838,0.053758
0.996700,0.057126,0.020846,0.053775
0.996698,0.057144,0.020853,0.053791
0.996696,0.057162,0.020861,0.053808
0.996694,0.057179,0.020868,0.053825
0.996691,0.057197,0.020876,0.053841
0.996689,0.057214,0.020883,0.053857
0.996687,0.057231,0.020891,0.053874
0.996685,0.057249,0.020898,0.053890
0.996683,0.057266,0.020905,0.053906
0.996681,0.057283,0.020913,0.053922
0.996679,0.057300,0.020920,0.053938
0.996677,0.057317,0.020927,0.053953
0.996675,0.057333,0.020934,0.053969
0.996673,0.057350,0.020942,0.053985
0.996672,0.057367,0.020949,0.054000
0.996670,0.057383,0.020956,0.054016
0.996668,0.057400,0.020963,0.054031
0.996666,0.057416,0.020970,0.054047
0.996664,0.057432,0.020977,0.054062
0.996662,0.057448,0.020984,0.054077
0.996660,0.057464,0.020990,0.054092
