q0 (),q1,q2,q3
0.997361,0.013759,0.037919,0.060359
0.997354,0.013775,0.037974,0.060445
0.997346,0.013791,0.038029,0.060530
0.997339,0.013807,0.038084,0.060615
0.997331,0.013823,0.038138,0.060699
0.997324,0.013839,0.038192,0.060783
0.997317,0.013855,0.038246,0.060866
0.997309,0.013870,0.038300,0.060949
0.997302,0.013886,0.038353,0.061032
0.997295,0.013902,0.038406,0.061114
0.997287,0.013917,0.038459,0.061196
0.997280,0.013932,0.038511,0.061277
0.997273,0.013948,0.038563,0.061358
0.997266,0.013963,0.038615,0.061438
0.997259,0.013978,0.038667,0.061518
0.997252,0.013993,0.038718,0.061598
0.997245,0.014008,0.038769,0.061677
0.997237,0.014022,0.038820,0.061756
0.997230,0.014037,0.038871,0.061834
0.997223,0.014052,0.038921,0.061912
0.997216,0.014066,0.038971,0.061989
0.997210,0.014081,0.039021,0.062066
0.997203,0.014095,0.039070,0.062143
0.997196,0.014110,0.039120,0.062219
0.997189,0.014124,0.039169,0.062295
0.997182,0.014138,0.039217,0.062371
0.997175,0.014152,0.039266,0.062446
0.997168,0.014166,0.039314,0.062520
0.997162,0.014180,0.039362,0.062595
0.997155,0.014194,0.039410,0.062668
0.997148,0.014207,0.039458,0.062742
0.997142,0.014221,0.039505,0.062815
0.997135,0.014235,0.039552,0.062888
0.997128,0.014248,0.039599,0.062960
0.997122,0.014262,0.039645,0.063032
0.997115,0.014275,0.039691,0.063103
0.997109,0.014288,0.039737,0.063175
0.997102,0.014301,0.039783,0.063245
0.997096,0.014314,0.039829,0.063316
0.997089,0.014328,0.039874,0.063386
0.997083,0.014340,0.039919,0.063456
0.997076,0.014353,0.039964,0.063525
0.997070,0.014366,0.040009,0.063594
0.997064,0.014379,0.040053,0.063662
0.997057,0.014392,0.040097,0.063731
0.997051,0.014404,0.040141,0.063799
0.997045,0.014417,0.040185,0.063866
0.997039,0.014429,0.040228,0.063933
0.997032,0.014442,0.040272,0.064000
0.997026,0.014454,0.040315,0.064066
0.997020,0.014466,0.040357,0.064133
0.997014,0.014478,0.040400,0.064198
0.997008,0.014490,0.040442,0.064264
0.997002,0.014502,0.040484,0.064329
0.996996,0.014514,0.040526,0.064393
0.996990,0.014526,0.040568,0.064458
0.996984,0.014538,0.040609,0.064522
0.996978,0.014550,0.040651,0.064586
0.996972,0.014562,0.040692,0.064649
0.996966,0.014573,0.040733,0.064712
0.996960,0.014585,0.040773,0.064775
0.996954,0.014596,0.040814,0.064837
0.996948,0.014608,0.040854,0.064899
0.996942,0.014619,0.040894,0.064961
0.996937,0.014630,0.040934,0.065022
0.996931,0.014642,0.040973,0.065083
0.996925,0.014653,0.041012,0.065144
0.996919,0.014664,0.041052,0.065204
0.996914,0.014675,0.041091,0.065264
0.996908,0.014686,0.041129,0.065324
0.996902,0.014697,0.041168,0.065384
0.996897,0.014708,0.041206,0.065443
0.996891,0.014718,0.041244,0.065502
0.996885,0.014729,0.041282,0.065560
0.996880,0.014740,0.041320,0.065618
0.996874,0.014750,0.041358,0.065676
0.996869,0.014761,0.041395,0.065734
0.996863,0.014771,0.041432,0.065791
0.996858,0.014782,0.041469,0.065848
0.996853,0.014792,0.041506,0.065905
0.996847,0.014803,0.041543,0.065961
0.996842,0.014813,0.041579,0.066017
0.996836,0.014823,0.041615,0.066073
0.996831,0.014833,0.041651,0.066129
0.996826,0.014843,0.041687,0.066184
0.996820,0.014853,0.041723,0.066239
0.996815,0.014863,0.041758,0.066293
0.996810,0.014873,0.041793,0.066348
0.996805,0.014883,0.041828,0.066402
0.996800,0.014893,0.041863,0.066455
0.996794,0.014903,0.041898,0.066509
0.996789,0.014912,0.041933,0.066562
0.996784,0.014922,0.041967,0.066615
0.996779,0.014932,0.042001,0.066668
0.996774,0.014941,0.042035,0.066720
0.996769,0.014951,0.042069,0.066772
0.996764,0.014960,0.042103,0.066824
0.996759,0.014969,0.042136,0.066875
0.996754,0.014979,0.042169,0.066927
0.996749,0.014988,0.042202,0.066978
0.996744,0.014997,0.042235,0.067028
0.996739,0.015006,0.042268,0.067079
0.996734,0.015015,0.042301,0.067129
0.996729,0.015024,0.042333,0.067179
0.996724,0.015033,0.042366,0.067229
0.996720,0.015042,0.042398,0.067278
0.996715,0.015051,0.042430,0.067327
0.996710,0.015060,0.042461,0.067376
0.996705,0.015069,0.042493,0.067425
0.996700,0.015078,0.042524,0.067473
0.996696,0.015086,0.042556,0.067521
0.996691,0.015095,0.042587,0.067569
0.996686,0.015104,0.042618,0.067617
0.996682,0.015112,0.042648,0.067664
0.996677,0.015121,0.042679,0.067711
0.996672,0.015129,0.042710,0.067758
0.996668,0.015138,0.042740,0.067805
0.996663,0.015146,0.042770,0.067851
0.996659,0.015154,0.042800,0.067897
0.996654,0.015163,0.042830,0.067943
0.996650,0.015171,0.042859,0.067989
0.996645,0.015179,0.042889,0.068034
0.996641,0.015187,0.042918,0.068079
0.996636,0.015195,0.042948,0.068124
0.996632,0.015203,0.042977,0.068169
0.996627,0.015211,0.043006,0.068213
0.996623,0.015219,0.043034,0.068258
0.996619,0.015227,0.043063,0.068302
0.996614,0.015235,0.043091,0.068345
0.996610,0.015243,0.043120,0.068389
0.996606,0.015251,0.043148,0.068432
0.996601,0.015258,0.043176,0.068475
0.996597,0.015266,0.043204,0.068518
0.996593,0.015274,0.043231,0.068561
0.996589,0.015281,0.043259,0.068603
0.996584,0.015289,0.043286,0.068645
0.996580,0.015296,0.043314,0.068687
0.996576,0.015304,0.043341,0.068729
0.996572,0.015311,0.043368,0.068770
0.996568,0.015319,0.043395,0.068812
0.996564,0.015326,0.043422,0.068853
0.996559,0.015333,0.043448,0.068894
0.996555,0.015341,0.043475,0.068934
0.996551,0.015348,0.043501,0.068975
0.996547,0.015355,0.043527,0.069015
0.996543,0.015362,0.043553,0.069055
0.996539,0.015369,0.043579,0.069095
0.996535,0.015377,0.043605,0.069134
0.996531,0.015384,0.043630,0.069173
0.996527,0.015391,0.043656,0.069213
0.996524,0.015398,0.043681,0.069252
0.996520,0.015405,0.043706,0.069290
0.996516,0.015411,0.043732,0.069329
0.996512,0.015418,0.043756,0.069367
0.996508,0.015425,0.043781,0.069405
0.996504,0.015432,0.043806,0.069443
0.996500,0.015439,0.043831,0.069481
0.996497,0.015445,0.043855,0.069519
0.996493,0.015452,0.043879,0.069556
0.996489,0.015459,0.043904,0.069593
0.996485,0.015465,0.043928,0.069630
0.996482,0.015472,0.043952,0.069667
0.996478,0.015478,0.043975,0.069703
0.996474,0.015485,0.043999,0.069740
0.996470,0.015491,0.044023,0.069776
0.996467,0.015498,0.044046,0.069812
0.996463,0.015504,0.044069,0.069848
0.996460,0.015510,0.044093,0.069883
0.996456,0.015517,0.044116,0.069919
0.996452,0.015523,0.044139,0.069954
0.996449,0.015529,0.044161,0.069989
0.996445,0.015535,0.044184,0.070024
0.996442,0.015541,0.044207,0.070058
0.996438,0.015548,0.044229,0.070093
0.996435,0.015554,0.044252,0.070127
0.996431,0.015560,0.044274,0.070161
0.996428,0.015566,0.044296,0.070195
0.996424,0.015572,0.044318,0.070229
0.996421,0.015578,0.044340,0.070263
0.996417,0.015584,0.044362,0.070296
0.996414,0.015590,0.044383,0.070329
0.996411,0.015595,0.044405,0.070362
0.996407,0.015601,0.044426,0.070395
0.996404,0.015607,0.044448,0.070428
0.996401,0.015613,0.044469,0.070461
0.996397,0.015619,0.044490,0.070493
0.996394,0.015624,0.044511,0.070525
0.996391,0.015630,0.044532,0.070557
0.996387,0.015636,0.044553,0.070589
0.996384,0.015641,0.044573,0.070621
0.996381,0.015647,0.044594,0.070652
0.996378,0.015652,0.044614,0.070684
0.996374,0.015658,0.044635,0.070715
0.996371,0.015663,0.044655,0.070746
0.996368,0.015669,0.044675,0.070777
0.996365,0.015674,0.044695,0.070807
0.996362,0.015680,0.044715,0.070838
0.996359,0.015685,0.044735,0.070868
0.996355,0.015690,0.044755,0.070899
0.996352,0.015696,0.044774,0.070929
0.996349,0.015701,0.044794,0.070959
0.996346,0.015706,0.044813,0.070988
0.996343,0.015711,0.044832,0.071018
0.996340,0.015717,0.044852,0.071047
0.996337,0.015722,0.044871,0.071077
0.996334,0.015727,0.044890,0.071106
0.996331,0.015732,0.044909,0.071135
0.996328,0.015737,0.044928,0.071164
0.996325,0.015742,0.044946,0.071192
0.996322,0.015747,0.044965,0.071221
0.996319,0.015752,0.044983,0.071249
0.996316,0.015757,0.045002,0.071277
0.996313,0.015762,0.045020,0.071305
0.996310,0.015767,0.045038,0.071333
0.996308,0.015772,0.045056,0.071361
0.996305,0.015777,0.045074,0.071389
0.996302,0.015782,0.045092,0.071416
0.996299,0.015786,0.045110,0.071444
0.996296,0.015791,0.045128,0.071471
0.996293,0.015796,0.045146,0.071498
0.996291,0.015801,0.045163,0.071525
