gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.071281,0.172526,0.308416
0.080451,0.160501,0.345456
0.043461,0.219697,0.433975
0.018893,0.296078,0.304379
-0.004349,0.219334,0.395108
0.018262,0.223505,0.323014
0.082947,0.253160,0.321177
-0.003243,0.234535,0.337253
0.047890,0.269134,0.348055
0.091750,0.319297,0.259215
-0.028286,0.170411,0.348642
0.041697,0.245505,0.378138
0.041239,0.277418,0.178579
0.046672,0.189476,0.259100
0.008821,0.218895,0.287940
0.045010,0.250385,0.372446
0.018903,0.250163,0.349616
0.027007,0.253168,0.262632
0.000874,0.206190,0.379062
0.106025,0.136195,0.334366
0.039139,0.206416,0.299003
0.004678,0.138784,0.289148
0.037326,0.252973,0.354753
0.097774,0.223482,0.253082
0.010182,0.206462,0.261904
0.009232,0.243810,0.231333
0.073845,0.199537,0.338977
0.104841,0.238387,0.246214
0.088097,0.170555,0.219859
-0.008217,0.211829,0.382107
0.070502,0.250448,0.244814
0.038742,0.150495,0.233201
0.031578,0.191104,0.318625
0.081922,0.190903,0.265588
0.065014,0.255449,0.274083
0.047873,0.135788,0.306608
0.062256,0.205080,0.317468
0.079099,0.184346,0.320618
0.084466,0.176194,0.292678
0.016322,0.262850,0.315215
0.013688,0.164308,0.297605
0.053035,0.139565,0.345817
0.068587,0.196697,0.207783
0.052754,0.132557,0.218299
0.027086,0.231512,0.256268
0.090869,0.153918,0.264028
0.027156,0.198404,0.210553
0.100343,0.180499,0.269644
0.081688,0.277969,0.322710
0.058486,0.161018,0.223582
-0.029367,0.138236,0.248552
0.066822,0.170499,0.316994
0.038922,0.217038,0.226222
0.056890,0.125997,0.185643
0.001329,0.188402,0.233259
-0.040983,0.258001,0.275564
0.046156,0.229955,0.324131
0.101383,0.206264,0.294907
0.034270,0.142144,0.228739
0.022300,0.157632,0.294177
0.065807,0.093507,0.307387
0.014402,0.167530,0.288973
0.059138,0.146259,0.335473
0.071266,0.067581,0.255038
0.021861,0.138256,0.235972
0.043339,0.225652,0.220087
0.039894,0.111554,0.205714
0.096042,0.176813,0.314159
0.015955,0.181899,0.233992
0.108080,0.184125,0.150384
-0.040210,0.116875,0.227396
0.007065,0.164066,0.218993
-0.046786,0.168718,0.204633
0.032986,0.220789,0.251889
-0.005498,0.084909,0.214673
0.051167,0.108617,0.235481
-0.048205,0.092532,0.232240
0.060167,0.136791,0.283595
0.024191,0.132275,0.192054
0.079267,0.162703,0.257464
0.013461,0.123937,0.153726
0.072871,0.226367,0.234805
0.030614,0.117297,0.164333
0.018563,0.099740,0.226883
0.022206,0.145059,0.161181
0.074089,0.172669,0.236278
0.107491,0.088357,0.247869
0.108776,0.145305,0.226078
0.013477,0.103117,0.200147
0.063620,0.067025,0.242345
-0.017690,0.109986,0.212403
0.046595,0.121315,0.253268
0.014779,0.112434,0.247280
0.053978,0.156108,0.246094
0.071061,0.228482,0.190890
0.030921,0.098367,0.246302
0.044519,0.170050,0.217800
-0.018504,0.193350,0.146112
-0.007619,0.054595,0.202565
0.004253,0.201920,0.209166
0.015682,0.086238,0.210945
0.006628,0.074681,0.118461
0.013668,0.138966,0.138340
0.018475,0.165397,0.182652
0.008805,0.139563,0.255049
-0.029179,0.091139,0.237585
0.031503,0.122796,0.196433
0.022016,0.249001,0.233780
-0.052207,0.044034,0.170479
-0.031936,0.088066,0.159776
-0.002692,0.076438,0.209019
-0.042156,0.155959,0.143553
0.097434,0.081632,0.219174
0.022026,0.193207,0.219702
0.015247,0.236292,0.126381
0.081178,0.142391,0.223766
0.016919,0.205143,0.261009
0.006129,0.126472,0.149029
0.065523,0.137066,0.229725
0.092824,0.127607,0.076072
-0.006729,0.138392,0.176409
-0.031888,0.147918,0.219626
-0.026719,0.096256,0.145702
0.122149,0.122985,0.116451
0.046041,0.169181,0.240900
0.052099,0.091984,0.178350
-0.021000,0.250704,0.157620
0.049917,0.071950,0.171324
0.019477,0.102398,0.186881
0.047849,0.104467,0.142055
0.060068,0.115627,0.228245
0.051337,0.166785,0.133936
0.015783,0.171347,0.115980
0.050771,0.089731,0.235707
-0.003078,0.124275,0.184187
-0.010520,0.088450,0.159677
0.059770,0.167923,0.120463
0.049712,0.169407,0.209369
0.062269,0.094104,0.195620
0.019476,0.076277,0.145338
0.083034,0.157007,0.155123
-0.016838,0.104236,0.133212
-0.003479,0.118918,0.250094
0.064772,0.036896,0.172657
0.010619,0.154149,0.180590
0.011024,0.178027,0.143213
0.070523,0.151902,0.122337
0.065712,0.119024,0.130099
0.028303,0.124907,0.153742
0.034281,0.091658,0.140560
0.066456,0.149649,0.189318
-0.048994,0.165085,0.157230
0.019866,0.108632,0.106543
0.037876,0.093664,0.158259
0.098481,0.122257,0.184630
0.079371,0.118258,0.178717
0.079679,0.036729,0.202652
0.001516,0.114173,0.187170
0.005791,0.105411,0.158970
0.051356,0.047253,0.208376
0.046004,0.134300,0.153732
0.056612,0.004835,0.189702
-0.004325,0.052188,0.139031
0.070653,0.092502,0.135077
0.079727,0.039006,0.167727
0.052872,0.162167,0.202385
0.070901,0.126508,0.162187
0.081277,0.098325,0.168461
-0.017406,0.087408,0.072317
0.049208,0.087449,0.174064
-0.014247,0.114804,0.166493
0.036563,0.133309,0.191640
0.029815,0.112978,0.161169
0.044983,0.106947,0.151428
-0.002298,0.127962,0.108145
0.030081,0.107287,0.164593
0.054351,0.056988,0.105193
0.056839,0.124653,0.130166
0.077052,0.053067,0.167375
-0.043284,0.144012,0.141854
-0.018509,0.095990,0.107687
0.057987,0.038760,0.139158
0.018725,0.146636,0.189546
0.030441,0.078592,0.176205
0.037782,0.171950,0.117290
-0.087433,0.087337,0.103240
-0.063675,0.051491,0.126986
-0.014222,0.015278,0.152704
0.014211,0.050510,0.156553
0.055085,0.082633,0.122224
-0.027892,0.117653,0.128014
0.017687,0.081325,0.132644
0.027463,0.056926,0.097558
0.003641,0.088150,0.109473
0.035123,0.040179,0.149724
0.006694,0.091496,0.072004
0.033425,0.072266,0.147886
-0.004631,0.023948,0.179569
0.020968,0.050820,0.110901
-0.112709,0.000480,0.053625
0.017614,0.073620,0.119987
-0.060341,0.108936,0.060771
-0.056346,0.071816,0.106141
0.014086,0.046408,0.109735
0.023802,0.068263,0.147624
0.025167,0.045676,0.134027
-0.005676,0.128272,0.054827
0.023805,0.042691,0.141542
0.000470,0.095527,0.126688
0.003813,0.044123,0.134937
0.036436,0.082939,0.063448
0.067200,-0.002182,0.155234
0.053052,0.125596,0.120849
0.011945,0.016539,0.104159
0.043372,0.063920,0.096398
-0.011241,0.022637,0.121575
0.017176,0.110930,0.094362
0.082755,0.074987,0.030055
0.049747,0.094488,0.075615
0.102834,0.083884,0.153174
-0.006366,0.010513,0.106274
-0.051605,0.010636,0.046819
0.046921,0.015928,0.095034
0.029491,0.090750,0.150387
0.025617,0.047399,0.047486
0.037413,0.086660,0.101324
0.091314,0.044845,0.057969
-0.007943,0.012153,0.151168
0.031330,0.116795,0.083718
0.040816,0.046773,0.060284
-0.054203,0.018494,0.227098
-0.012069,0.156163,0.051650
0.067275,0.007165,0.032902
-0.014470,0.090511,0.117385
0.016521,0.125986,0.176694
0.012987,0.063670,0.068959
0.093546,0.076112,0.084909
0.023912,0.151760,0.140361
0.048821,0.027110,0.102394
0.057914,0.039706,0.072613
0.027868,-0.004466,0.092484
0.056340,0.023481,0.111892
0.006826,0.122874,0.108122
0.049298,0.121426,0.116903
-0.014105,0.054436,0.078378
-0.038939,0.101302,0.130195
0.039443,0.014347,0.056204
-0.000318,0.066666,0.101175
-0.022591,0.056010,0.110049
-0.006588,0.086080,0.077489
-0.001069,0.043936,0.049695
0.041936,0.051261,0.099698
-0.040200,0.102604,0.097319
0.117238,0.047461,0.109161
0.015081,0.039441,0.077971
-0.020264,0.064034,0.087417
-0.014607,-0.011857,0.076444
0.011999,0.031508,0.097141
-0.029408,0.117452,0.111725
0.041898,0.042805,0.036498
0.010783,-0.012373,0.141636
0.032635,0.025579,0.073511
0.099060,0.046370,0.084474
0.022487,0.014051,0.125768
0.030371,0.064099,0.175153
0.038399,0.078173,0.055239
0.029277,0.033807,0.075360
0.033271,0.095831,0.060067
0.018539,0.086179,0.078204
-0.045417,0.088342,0.132981
0.021182,0.021565,0.116200
-0.002150,-0.041911,0.053271
0.051560,0.016495,0.184885
-0.023479,0.106364,0.095833
0.024456,0.009783,0.105970
-0.066806,0.033448,0.082350
-0.039292,0.071941,0.111671
0.040117,0.016132,0.117448
0.020241,0.013383,0.059857
-0.069741,0.008845,0.066399
-0.003797,0.073859,0.041484
0.038783,-0.025564,0.138700
-0.010663,0.101230,0.104766
-0.003845,0.054161,0.100565
0.070542,0.010607,0.077285
-0.015563,-0.006555,0.009529
-0.002787,0.050789,0.099479
0.017497,-0.003430,0.052579
0.018246,0.063415,0.053312
-0.077135,0.026434,0.098995
-0.040897,0.044371,0.121068
0.009144,0.082472,0.023949
-0.045880,0.055753,0.149073
-0.004846,0.038718,0.059481
0.030594,0.053107,0.069304
0.042188,0.068885,0.051115
-0.061565,0.038740,0.064920
0.055867,0.049927,0.126068
0.021532,0.009931,-0.020649
0.020056,-0.016487,0.048506
0.018722,0.018043,0.054170
-0.004401,0.019066,0.069464
0.131943,0.019702,0.094441
0.037556,0.048966,0.117056
0.027873,0.139014,0.057530
0.070626,0.063955,0.110558
-0.020441,0.013034,0.023704
-0.015793,0.050346,0.044016
-0.033279,-0.005169,0.068641
-0.029673,0.102152,0.059093
-0.013557,-0.009412,0.099058
0.031293,0.003741,0.076360
0.025894,0.013324,0.140044
-0.060659,-0.068558,0.076321
0.046290,0.039934,0.074556
-0.037524,-0.002388,0.140377
0.066527,0.023512,0.070783
-0.008942,0.078019,0.044788
0.045618,0.026130,0.109908
0.076267,0.009694,0.055059
0.019893,0.092767,0.035093
-0.023578,0.064086,0.045447
-0.016976,0.062179,0.069553
0.030601,0.073178,0.118580
-0.028664,0.035512,0.105949
0.013169,0.007853,0.027435
-0.002959,-0.001376,0.060391
0.031672,0.030743,-0.028371
0.025614,0.035462,-0.004501
0.020140,0.016216,0.059296
0.005239,0.133984,0.095797
-0.071301,0.098347,-0.012769
-0.023300,0.044896,0.088577
-0.032280,-0.011156,0.004055
0.014011,-0.018107,0.068560
0.009853,0.078139,0.123927
-0.019619,0.014526,0.108633
0.037095,0.005282,0.064926
0.051503,0.056160,0.069818
0.063097,0.118444,0.101873
0.062589,0.085995,0.051799
0.051073,0.018802,0.057862
-0.029291,-0.007922,0.141418
0.004028,0.027456,0.060261
-0.046950,0.017993,0.050087
-0.006358,0.064666,0.088473
-0.036127,0.196084,0.039343
-0.059444,0.050466,0.053180
-0.002453,0.052887,-0.025109
-0.027077,0.055161,0.075470
-0.015485,0.021950,0.095977
0.091282,0.015429,0.066498
0.015856,0.031521,-0.013426
0.026917,-0.013265,0.054792
0.032766,-0.000049,0.067924
0.011320,0.051415,0.073839
-0.089584,0.016246,0.046246
-0.039753,-0.005656,-0.002272
-0.022703,-0.049052,0.081290
-0.094224,0.042531,0.060474
-0.032642,0.024136,-0.049771
0.008506,0.033905,0.034303
-0.027665,-0.006692,0.015374
0.045110,-0.029491,0.042851
-0.036222,0.071289,0.066040
0.059990,0.040906,0.029015
-0.000223,0.012474,0.049744
0.065479,0.051556,0.074611
0.006993,0.062385,0.057677
-0.002377,0.007725,0.080982
-0.003335,0.079843,0.029974
-0.058710,0.044644,0.080136
0.000727,0.056241,0.085979
0.032337,0.055503,0.037336
0.116090,0.033960,0.067440
0.028235,-0.026534,0.114176
0.002073,-0.027671,0.029237
0.012947,0.045916,0.063361
0.007338,0.050064,0.044834
-0.067326,-0.044893,0.029558
0.004540,0.014398,0.082269
0.015213,-0.012281,0.003001
0.013164,0.015431,-0.004041
0.049043,0.025950,0.070763
0.048590,0.018792,0.043001
0.098593,0.079843,0.043396
-0.067664,0.109133,0.041970
-0.030829,0.099595,0.076758
-0.049856,0.112814,-0.012861
0.031928,0.025775,-0.018261
-0.042582,0.008284,0.053992
0.002592,0.037768,0.119387
0.070517,-0.037112,0.060639
0.091364,-0.013076,0.083038
-0.049827,0.002612,0.080813
-0.031114,0.107463,0.090600
0.061304,0.048846,0.034478
0.092486,0.043487,0.042282
-0.056557,0.015280,0.048464
0.013366,-0.046534,0.113284
-0.007889,0.049616,0.054985
0.043082,0.074789,0.037995
-0.015673,0.049395,0.132666
0.011967,0.086686,0.056194
-0.023603,0.055012,0.037173
-0.056450,0.097374,-0.008638
0.111680,-0.034592,0.028449
0.002284,-0.044581,0.010308
0.013785,0.063885,0.038245
-0.012236,-0.003475,0.026877
0.017243,0.015817,-0.002586
-0.016657,0.014223,-0.031300
0.027418,-0.094218,0.033036
0.050185,0.014460,-0.022292
0.011075,0.052323,-0.042042
-0.051962,0.102469,0.092168
