accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.130154,-0.921548,-9.665193
1.116603,-0.918800,-9.656806
1.132788,-0.929514,-9.663431
1.123345,-0.925102,-9.669208
1.135614,-0.927982,-9.664669
1.131348,-0.926834,-9.659947
1.128146,-0.932278,-9.671651
1.140385,-0.934351,-9.665452
1.138959,-0.928810,-9.662668
1.137313,-0.925832,-9.656440
1.134289,-0.936583,-9.664515
1.143623,-0.930969,-9.667415
1.135892,-0.928532,-9.662138
1.139849,-0.936320,-9.675354
1.146853,-0.949113,-9.659423
1.146740,-0.938831,-9.671751
1.140751,-0.940351,-9.663806
1.146815,-0.940106,-9.667543
1.160686,-0.953690,-9.662183
1.154787,-0.943304,-9.659834
1.145518,-0.953541,-9.659222
1.158424,-0.955959,-9.658330
1.158744,-0.945992,-9.658005
1.162079,-0.954756,-9.655654
1.171469,-0.940889,-9.664743
1.160145,-0.951566,-9.663605
1.159853,-0.952667,-9.655259
1.166635,-0.958293,-9.666968
1.161802,-0.963736,-9.667265
1.164737,-0.958697,-9.655296
1.163351,-0.960178,-9.666858
1.176098,-0.956535,-9.658366
1.171955,-0.959328,-9.651858
1.165169,-0.955265,-9.645704
1.167086,-0.968422,-9.652741
1.179870,-0.961162,-9.657077
1.176114,-0.969084,-9.658966
1.194980,-0.963744,-9.659061
1.185715,-0.960987,-9.658585
1.178645,-0.976566,-9.656243
1.181537,-0.964350,-9.658709
1.178576,-0.972852,-9.660037
1.181210,-0.977040,-9.649871
1.189069,-0.972518,-9.654393
1.197281,-0.975084,-9.647682
1.194026,-0.976631,-9.655269
1.182362,-0.980026,-9.652027
1.192285,-0.981362,-9.658279
1.190778,-0.978366,-9.651264
1.198720,-0.981235,-9.654773
1.186899,-0.978473,-9.656224
1.199175,-0.974352,-9.649954
1.188622,-0.978006,-9.659060
1.194824,-0.982636,-9.652968
1.202765,-0.981723,-9.656552
1.194420,-0.986186,-9.644270
1.206616,-0.984428,-9.654003
1.202828,-0.988218,-9.650125
1.209615,-0.990602,-9.648866
1.204997,-0.980368,-9.646411
1.205449,-0.988556,-9.652159
1.207357,-0.993331,-9.647970
1.213117,-1.000658,-9.650987
1.205493,-1.000275,-9.655336
1.207352,-1.002288,-9.651185
1.213133,-0.992260,-9.645342
1.218169,-0.993249,-9.654661
1.221078,-0.999536,-9.654464
1.221333,-1.007625,-9.655019
1.218030,-0.996937,-9.648399
1.209617,-0.997987,-9.652239
1.215627,-0.994581,-9.647966
1.227433,-1.001166,-9.644910
1.225901,-0.997456,-9.644425
1.224000,-1.002118,-9.641376
1.224723,-0.996182,-9.655562
1.226364,-0.998462,-9.643888
1.222007,-1.000365,-9.641069
1.231649,-1.013260,-9.651612
1.238331,-1.009959,-9.639885
1.231930,-1.014919,-9.652253
1.237405,-1.015973,-9.640164
1.243563,-1.008198,-9.644116
1.231042,-1.005990,-9.641555
1.237364,-1.014525,-9.648997
1.234302,-1.020646,-9.640602
1.246626,-1.010484,-9.641959
1.243198,-1.023599,-9.640178
1.233107,-1.016770,-9.646182
1.243147,-1.006499,-9.644476
1.241670,-1.008542,-9.643986
1.252359,-1.015652,-9.640146
