mag_x (uT),mag_y (uT),mag_z (uT)
27.971897,-1.618755,-15.978746
27.982269,-1.604659,-15.991307
27.976403,-1.614567,-15.972557
27.984668,-1.635910,-15.967859
27.974895,-1.628697,-15.969555
27.991522,-1.627557,-15.971890
27.967762,-1.634302,-15.952254
27.986372,-1.630356,-15.965371
27.988151,-1.619226,-15.979537
27.981770,-1.632522,-15.998180
27.979782,-1.632837,-15.975436
27.993638,-1.633575,-15.964811
27.994830,-1.644318,-15.995733
27.994277,-1.651126,-15.967716
27.993532,-1.634820,-15.964046
27.997655,-1.651785,-15.962155
27.995222,-1.662533,-15.964243
27.998935,-1.662173,-15.969757
27.984940,-1.653632,-15.965342
27.990953,-1.670413,-15.957056
27.996302,-1.647454,-15.946735
27.972036,-1.666139,-15.966561
27.976516,-1.670111,-15.957997
27.983544,-1.669407,-15.937962
28.001227,-1.685635,-15.949785
27.988198,-1.700511,-15.949941
27.995279,-1.674655,-15.926675
27.994358,-1.669151,-15.945542
27.984945,-1.692024,-15.951187
27.998663,-1.681660,-15.953938
27.980981,-1.679485,-15.928106
27.990515,-1.697225,-15.957041
27.990535,-1.696797,-15.955472
27.998657,-1.718337,-15.938837
28.000333,-1.697956,-15.951583
28.001702,-1.689495,-15.933921
27.985429,-1.695045,-15.932673
27.997050,-1.696206,-15.930385
27.996740,-1.712879,-15.958805
28.001473,-1.718807,-15.939058
27.993093,-1.700071,-15.934958
27.988356,-1.701979,-15.932059
28.000712,-1.717739,-15.940505
27.995174,-1.712393,-15.924643
28.019512,-1.717284,-15.933946
27.994286,-1.718727,-15.940061
28.017949,-1.723918,-15.920841
28.005576,-1.727457,-15.923776
28.003970,-1.712269,-15.905300
28.002083,-1.735138,-15.920125
27.982390,-1.756113,-15.932048
27.984862,-1.723185,-15.926979
27.992911,-1.723275,-15.939945
28.008607,-1.737888,-15.918190
27.994994,-1.751830,-15.930934
28.010313,-1.743904,-15.913637
28.009829,-1.750805,-15.910060
28.023753,-1.749506,-15.927751
28.014159,-1.746372,-15.910461
28.007098,-1.753671,-15.902790
28.027109,-1.770423,-15.904297
28.002690,-1.755809,-15.917672
28.006370,-1.773145,-15.923167
27.998826,-1.761129,-15.922470
28.008374,-1.757768,-15.890062
28.021309,-1.770499,-15.904711
28.000589,-1.788519,-15.905106
28.022907,-1.756583,-15.910846
27.988027,-1.776324,-15.923729
28.007604,-1.764127,-15.908762
28.007015,-1.771584,-15.911865
28.005288,-1.774740,-15.913516
27.995347,-1.762744,-15.907676
28.018943,-1.765764,-15.885791
28.018849,-1.782677,-15.903424
28.026219,-1.776752,-15.889585
28.011997,-1.791759,-15.890874
28.005048,-1.784049,-15.886473
28.013877,-1.783270,-15.901284
28.009036,-1.774278,-15.883867
28.027653,-1.774254,-15.901895
28.015758,-1.797389,-15.897280
