mag_x (uT),mag_y (uT),mag_z (uT)
27.975784,-3.673984,-15.601319
27.973737,-3.693354,-15.601360
27.984165,-3.691433,-15.610452
27.986731,-3.685355,-15.615796
28.009833,-3.702215,-15.584945
28.001682,-3.715429,-15.615934
28.001121,-3.736336,-15.599315
27.999629,-3.732526,-15.582550
28.002256,-3.736446,-15.606902
28.013778,-3.752107,-15.588659
27.979942,-3.753868,-15.574316
27.998976,-3.749370,-15.571180
27.991232,-3.776165,-15.584910
27.986657,-3.787346,-15.583748
27.997779,-3.765858,-15.572170
28.009254,-3.785628,-15.574069
28.007057,-3.782012,-15.559558
27.997351,-3.802232,-15.559441
27.985775,-3.814400,-15.565093
28.000633,-3.827926,-15.573131
28.004988,-3.814190,-15.573883
28.005690,-3.850906,-15.562346
27.985799,-3.842443,-15.566795
27.995582,-3.843051,-15.560163
27.999857,-3.847455,-15.540553
28.000847,-3.858915,-15.548018
28.008804,-3.870470,-15.558059
27.998333,-3.889334,-15.557256
27.991106,-3.879079,-15.526292
28.006168,-3.882237,-15.533743
27.987834,-3.892567,-15.523029
28.011982,-3.909110,-15.522783
28.011711,-3.890897,-15.532946
28.015260,-3.909993,-15.524977
28.003628,-3.912056,-15.513513
28.031912,-3.904162,-15.519969
28.030518,-3.932725,-15.525808
28.007826,-3.935708,-15.524782
28.015860,-3.941949,-15.531720
28.019788,-3.953306,-15.524179
28.003389,-3.958168,-15.490579
28.013554,-3.947786,-15.503288
28.007216,-3.966732,-15.512413
28.011692,-3.972285,-15.494609
27.998177,-3.983502,-15.489018
28.020144,-3.997028,-15.486923
28.009144,-3.995042,-15.492387
28.025809,-4.003590,-15.499405
28.001343,-4.015112,-15.503606
28.029173,-4.003557,-15.482937
28.016861,-4.011209,-15.496043
28.015722,-4.025184,-15.482991
28.022587,-4.038655,-15.495435
28.021188,-4.035524,-15.487407
28.029302,-4.042760,-15.484714
28.017728,-4.040574,-15.461731
28.024457,-4.052363,-15.493279
28.014823,-4.055996,-15.466921
27.997928,-4.086845,-15.481501
28.022986,-4.064346,-15.497788
28.035498,-4.049585,-15.469338
28.029989,-4.090251,-15.457495
28.029893,-4.088838,-15.491611
28.002795,-4.096229,-15.458885
28.012924,-4.095543,-15.473241
28.030106,-4.096474,-15.465649
28.013673,-4.108852,-15.450932
28.014819,-4.101555,-15.452378
28.024952,-4.108123,-15.465081
28.029099,-4.098193,-15.445586
28.038200,-4.115224,-15.443965
28.020352,-4.115035,-15.441712
28.026515,-4.146334,-15.446663
28.011789,-4.141944,-15.425696
28.012719,-4.133078,-15.437056
28.047297,-4.136492,-15.443039
28.018441,-4.164653,-15.439299
28.015351,-4.155809,-15.425283
28.023510,-4.156790,-15.410889
28.017546,-4.172172,-15.417685
28.031203,-4.174900,-15.441461
28.025004,-4.171245,-15.425409
28.026990,-4.176900,-15.429493
28.020301,-4.197830,-15.447314
28.018964,-4.184742,-15.425272
28.024650,-4.190956,-15.442031
28.002930,-4.195811,-15.421220
28.013613,-4.197326,-15.422005
28.027158,-4.219916,-15.425014
28.018345,-4.216067,-15.420409
28.015022,-4.243947,-15.414067
28.037703,-4.221614,-15.411931
28.015898,-4.233299,-15.407998
28.037726,-4.221592,-15.405390
28.027066,-4.233395,-15.397881
28.020231,-4.252320,-15.394592
28.049313,-4.256366,-15.404251
28.032814,-4.258547,-15.400590
28.025645,-4.265198,-15.370021
28.019859,-4.273159,-15.399557
28.030487,-4.269768,-15.410635
28.022478,-4.268668,-15.390866
28.040367,-4.287565,-15.395888
28.025596,-4.267529,-15.378066
28.025647,-4.291358,-15.394041
28.029624,-4.279715,-15.396497
28.023923,-4.307185,-15.380703
28.024760,-4.316716,-15.382289
28.025120,-4.302880,-15.383934
28.045301,-4.287773,-15.382676
28.025036,-4.299881,-15.370877
28.031425,-4.334065,-15.396668
28.009281,-4.331110,-15.371332
28.028298,-4.325181,-15.400114
28.015559,-4.337769,-15.377990
28.029085,-4.329654,-15.363235
28.042972,-4.348870,-15.379518
28.041480,-4.335751,-15.363349
28.022706,-4.349645,-15.367357
28.033713,-4.340317,-15.386666
28.049521,-4.344000,-15.366017
28.029559,-4.370017,-15.352784
28.031091,-4.365372,-15.362921
28.031741,-4.370863,-15.358177
28.034050,-4.365493,-15.365504
28.019068,-4.353426,-15.360479
28.016310,-4.376727,-15.354801
