ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
28.645345,-4.648708,-14.094333
28.645456,-4.649292,-14.093914
28.645567,-4.649873,-14.093498
28.645677,-4.650451,-14.093084
28.645786,-4.651026,-14.092672
28.645895,-4.651598,-14.092262
28.646003,-4.652167,-14.091854
28.646111,-4.652733,-14.091448
28.646218,-4.653296,-14.091044
28.646325,-4.653855,-14.090643
28.646431,-4.654412,-14.090243
28.646536,-4.654966,-14.089846
28.646641,-4.655517,-14.089451
28.646745,-4.656066,-14.089058
28.646849,-4.656611,-14.088666
28.646952,-4.657153,-14.088277
28.647055,-4.657693,-14.087890
28.647157,-4.658229,-14.087505
28.647259,-4.658763,-14.087122
28.647360,-4.659294,-14.086741
28.647460,-4.659822,-14.086362
28.647560,-4.660348,-14.085985
28.647660,-4.660871,-14.085610
28.647758,-4.661391,-14.085236
28.647857,-4.661908,-14.084865
28.647955,-4.662422,-14.084496
28.648052,-4.662934,-14.084128
28.648149,-4.663443,-14.083763
28.648245,-4.663949,-14.083399
28.648341,-4.664453,-14.083038
28.648436,-4.664954,-14.082678
28.648531,-4.665452,-14.082320
28.648625,-4.665948,-14.081964
28.648719,-4.666441,-14.081610
28.648812,-4.666932,-14.081257
28.648905,-4.667420,-14.080907
28.648998,-4.667905,-14.080558
28.649089,-4.668388,-14.080211
28.649181,-4.668868,-14.079866
28.649272,-4.669346,-14.079523
28.649362,-4.669821,-14.079181
28.649452,-4.670294,-14.078842
28.649541,-4.670764,-14.078504
28.649630,-4.671232,-14.078167
28.649719,-4.671697,-14.077833
28.649807,-4.672160,-14.077500
28.649894,-4.672620,-14.077169
28.649981,-4.673078,-14.076840
28.650068,-4.673534,-14.076513
28.650154,-4.673987,-14.076187
28.650240,-4.674438,-14.075863
28.650325,-4.674886,-14.075540
28.650410,-4.675332,-14.075220
28.650494,-4.675776,-14.074901
28.650578,-4.676217,-14.074583
28.650661,-4.676656,-14.074267
28.650744,-4.677093,-14.073953
28.650827,-4.677527,-14.073641
28.650909,-4.677959,-14.073330
28.650991,-4.678389,-14.073021
28.651072,-4.678817,-14.072713
28.651153,-4.679242,-14.072407
28.651233,-4.679665,-14.072103
28.651313,-4.680086,-14.071800
28.651393,-4.680505,-14.071499
28.651472,-4.680921,-14.071199
28.651551,-4.681335,-14.070901
28.651629,-4.681747,-14.070605
28.651707,-4.682157,-14.070310
28.651784,-4.682565,-14.070016
28.651861,-4.682971,-14.069724
28.651938,-4.683374,-14.069434
28.652014,-4.683775,-14.069145
28.652090,-4.684174,-14.068858
28.652165,-4.684572,-14.068572
28.652240,-4.684967,-14.068288
28.652315,-4.685359,-14.068005
28.652389,-4.685750,-14.067723
28.652463,-4.686139,-14.067443
28.652537,-4.686526,-14.067165
28.652610,-4.686911,-14.066888
28.652682,-4.687293,-14.066612
28.652755,-4.687674,-14.066338
28.652827,-4.688052,-14.066065
28.652898,-4.688429,-14.065794
28.652969,-4.688804,-14.065524
28.653040,-4.689177,-14.065256
28.653111,-4.689547,-14.064989
28.653181,-4.689916,-14.064723
28.653250,-4.690283,-14.064459
28.653320,-4.690648,-14.064196
28.653389,-4.691011,-14.063934
28.653457,-4.691372,-14.063674
28.653525,-4.691731,-14.063415
28.653593,-4.692088,-14.063158
28.653661,-4.692444,-14.062902
28.653728,-4.692797,-14.062647
28.653795,-4.693149,-14.062394
28.653861,-4.693499,-14.062142
28.653927,-4.693847,-14.061891
28.653993,-4.694193,-14.061641
28.654058,-4.694537,-14.061393
28.654123,-4.694880,-14.061146
28.654188,-4.695220,-14.060901
28.654252,-4.695559,-14.060656
28.654316,-4.695896,-14.060413
28.654380,-4.696232,-14.060172
28.654443,-4.696565,-14.059931
28.654506,-4.696897,-14.059692
